Course,Section,TimeSlot,Room,Lecturer
UNEN3104,0,Sunday 08:00,C001,F005
UNEN3104,0,Tuesday 08:00,C001,F005
CSSE3102/ITSE306,0,Sunday 08:00,E001,F002
CSSE3102/ITSE306,0,Tuesday 08:00,E001,F002
CSSY3202/ITSY303,0,Sunday 08:00,E102,F003
CSSY3202/ITSY303,0,Tuesday 08:00,E102,F003
CSSY3202/ITSY303,1,Sunday 08:00,E103,F007
CSSY3202/ITSY303,1,Tuesday 08:00,E103,F007
CSPM3201/ITSE308,0,Sunday 08:00,E002,F001
CSPM3201/ITSE308,0,Tuesday 08:00,E002,F001
CSPM3201/ITSE308,1,Sunday 10:00,E001,F001
CSPM3201/ITSE308,1,Tuesday 12:00,E001,F001
CSIS3103,0,Sunday 12:00,E001,F001
CSIS3103,0,Tuesday 14:00,E001,F001
CSIS3103,1,Sunday 14:00,E001,F001
CSIS3103,1,Monday 08:00,E001,F001
CSIS3103,1,Wednesday 08:00,E001,F001
CSSE3101/ITSE302,0,Sunday 10:00,E002,F002
CSSE3101/ITSE302,0,Tuesday 12:00,E002,F002
CSSE3101/ITSE302,1,Sunday 12:00,E002,F002
CSSE3101/ITSE302,1,Tuesday 14:00,E002,F002
STAT3101/MATH311,0,Sunday 08:00,C002,F009
STAT3101/MATH311,0,Tuesday 08:00,C002,F009
STAT3101/MATH311,0,Thursday 08:00,C001,F005
STAT3101/MATH311,1,Sunday 10:00,C001,F005
STAT3101/MATH311,1,Tuesday 12:00,C001,F005
STAT3101/MATH311,1,Thursday 08:00,C002,F009
CSDS3203/ITSE407,0,Monday 10:00,E001,F001
CSDS3203/ITSE407,0,Wednesday 10:00,E001,F001
CSDS3203/ITSE407,1,Monday 12:00,E001,F001
CSDS3203/ITSE407,1,Wednesday 12:00,E001,F001
CSSE3203/ITSE301,0,Sunday 14:00,E002,F002
CSSE3203/ITSE301,0,Thursday 08:00,E001,F002
CSSE3203/ITSE301,0,Monday 08:00,E002,F002
CSSE3203/ITSE301,0,Wednesday 08:00,E002,F002
CSSE3203/ITSE301,0,Thursday 08:00,E002,F006
CSRM3202/ITIS304,0,,,
CSRM3202/ITIS304,0,,,
CSDS3202/ITSE415,0,Thursday 10:00,E001,F001
CSDS3202/ITSE415,0,Monday 10:00,E002,F006
CSDS3202/ITSE415,0,Wednesday 10:00,E002,F006
CSDS3202/ITSE415,0,Thursday 10:00,E002,F006
ENGL3100,0,Sunday 10:00,C002,F004
ENGL3100,0,Tuesday 12:00,C002,F004
ITSE305,0,Monday 12:00,E002,F004
ITSE305,0,Wednesday 12:00,E002,F004
CSSY3203/ITSY305,0,Sunday 10:00,E102,F003
CSSY3203/ITSY305,0,Tuesday 12:00,E102,F003
CSSY3106/ITSY304,0,Sunday 10:00,E103,F007
CSSY3106/ITSY304,0,Tuesday 12:00,E103,F007
CSNW2101/ITNT309,0,Monday 14:00,E102,F001
CSNW2101/ITNT309,0,Wednesday 14:00,E102,F001
ITNT301,0,Sunday 12:00,E102,F004
ITNT301,0,Tuesday 14:00,E102,F004
CSSY2201/ITSY301,0,Sunday 12:00,E103,F003
CSSY2201/ITSY301,0,Tuesday 14:00,E103,F003
ITSE414,0,Sunday 12:00,C001,F008
ITSE402,0,Monday 14:00,E001,F004
ITSE402,0,Wednesday 14:00,E001,F004
PHIL3201,0,Sunday 12:00,C002,F005
PHIL3201,0,Tuesday 14:00,C001,F005
CSSE2203/ITSE205,0,Thursday 12:00,E001,F002
CSSE2203/ITSE205,0,Monday 14:00,E002,F002
CSSE2203/ITSE205,0,Wednesday 14:00,E002,F002
CSSE2203/ITSE205,0,Thursday 12:00,E002,F006
ITSY302,0,Sunday 14:00,E102,F005
ITSY302,0,Monday 08:00,E102,F005
ITSY302,0,Wednesday 08:00,E102,F005
CSSY4101,0,Sunday 14:00,C001,F003
UNAB4105,0,Sunday 14:00,C002,F009
UNAB4105,0,Tuesday 14:00,C002,F009
